Attention Value: 0.82 | Head Pose: Pitch -0.37, Yaw 10.49 | Eye Gaze: Pitch -7.88, Yaw 0.04 | Dominant Emotion: Neutral
Attention Value: 0.76 | Head Pose: Pitch 0.1, Yaw 9.68 | Eye Gaze: Pitch 0.92, Yaw -7.92 | Dominant Emotion: Other
Attention Value: 0.76 | Head Pose: Pitch -17.05, Yaw 3.59 | Eye Gaze: Pitch -1.67, Yaw -3.83 | Dominant Emotion: Other
Attention Value: 0.76 | Head Pose: Pitch -4.11, Yaw -0.82 | Eye Gaze: Pitch 3.49, Yaw 4.58 | Dominant Emotion: Sad
Attention Value: 0.76 | Head Pose: Pitch 16.44, Yaw 1.98 | Eye Gaze: Pitch 4.22, Yaw 3.7 | Dominant Emotion: Other
Attention Value: 0.76 | Head Pose: Pitch -2.86, Yaw -6.36 | Eye Gaze: Pitch -2.81, Yaw -3.35 | Dominant Emotion: Other
Attention Value: 0.75 | Head Pose: Pitch 17.79, Yaw -2.89 | Eye Gaze: Pitch -3.29, Yaw -4.16 | Dominant Emotion: Happy
Attention Value: 0.75 | Head Pose: Pitch 2.24, Yaw -15.5 | Eye Gaze: Pitch 0.56, Yaw 2.89 | Dominant Emotion: Happy
Attention Value: 0.75 | Head Pose: Pitch 17.27, Yaw -12.37 | Eye Gaze: Pitch 1.38, Yaw 5.47 | Dominant Emotion: Happy
Attention Value: 0.75 | Head Pose: Pitch -11.08, Yaw 14.86 | Eye Gaze: Pitch -5.96, Yaw 2.0 | Dominant Emotion: Other
Attention Value: 0.74 | Head Pose: Pitch -3.67, Yaw 12.96 | Eye Gaze: Pitch 2.2, Yaw -5.51 | Dominant Emotion: Other
Attention Value: 0.74 | Head Pose: Pitch 3.08, Yaw 11.09 | Eye Gaze: Pitch 0.73, Yaw 0.94 | Dominant Emotion: Sad
Attention Value: 0.74 | Head Pose: Pitch 7.73, Yaw -1.75 | Eye Gaze: Pitch 4.01, Yaw -6.56 | Dominant Emotion: Other
Attention Value: 0.74 | Head Pose: Pitch 13.03, Yaw -8.12 | Eye Gaze: Pitch 8.44, Yaw -5.02 | Dominant Emotion: Sad
Attention Value: 0.74 | Head Pose: Pitch -5.05, Yaw -23.64 | Eye Gaze: Pitch 4.34, Yaw 9.51 | Dominant Emotion: Happy
Attention Value: 0.74 | Head Pose: Pitch -17.82, Yaw -4.36 | Eye Gaze: Pitch -4.05, Yaw -1.05 | Dominant Emotion: Other
Attention Value: 0.74 | Head Pose: Pitch -24.46, Yaw 10.77 | Eye Gaze: Pitch -8.01, Yaw 5.06 | Dominant Emotion: Happy
Attention Value: 0.74 | Head Pose: Pitch 2.73, Yaw 10.87 | Eye Gaze: Pitch 4.42, Yaw 7.85 | Dominant Emotion: Other
Attention Value: 0.73 | Head Pose: Pitch 0.74, Yaw 1.97 | Eye Gaze: Pitch 8.48, Yaw 5.24 | Dominant Emotion: Angry
Attention Value: 0.73 | Head Pose: Pitch 14.98, Yaw 11.24 | Eye Gaze: Pitch 5.1, Yaw 8.4 | Dominant Emotion: Happy
Attention Value: 0.73 | Head Pose: Pitch -15.45, Yaw 19.08 | Eye Gaze: Pitch 6.91, Yaw 8.69 | Dominant Emotion: Happy
Attention Value: 0.73 | Head Pose: Pitch -0.15, Yaw 9.84 | Eye Gaze: Pitch 8.35, Yaw -6.58 | Dominant Emotion: Other
Attention Value: 0.73 | Head Pose: Pitch -6.56, Yaw -10.21 | Eye Gaze: Pitch 0.75, Yaw -5.87 | Dominant Emotion: Other
Attention Value: 0.73 | Head Pose: Pitch -2.05, Yaw -14.8 | Eye Gaze: Pitch -5.4, Yaw -0.97 | Dominant Emotion: Other
Attention Value: 0.72 | Head Pose: Pitch -5.31, Yaw -5.64 | Eye Gaze: Pitch -0.68, Yaw 0.71 | Dominant Emotion: Other
Attention Value: 0.72 | Head Pose: Pitch -2.3, Yaw -15.35 | Eye Gaze: Pitch 6.96, Yaw -9.08 | Dominant Emotion: Other
Attention Value: 0.72 | Head Pose: Pitch 14.1, Yaw -2.23 | Eye Gaze: Pitch -4.05, Yaw -6.45 | Dominant Emotion: Angry
Attention Value: 0.72 | Head Pose: Pitch 17.85, Yaw -7.36 | Eye Gaze: Pitch -6.01, Yaw -1.02 | Dominant Emotion: Neutral
Attention Value: 0.72 | Head Pose: Pitch -6.35, Yaw -19.11 | Eye Gaze: Pitch -4.6, Yaw 5.63 | Dominant Emotion: Neutral
Attention Value: 0.72 | Head Pose: Pitch -14.15, Yaw 2.01 | Eye Gaze: Pitch -6.57, Yaw 2.28 | Dominant Emotion: Other
Attention Value: 0.72 | Head Pose: Pitch -3.42, Yaw -5.31 | Eye Gaze: Pitch 2.23, Yaw -6.35 | Dominant Emotion: Angry
Attention Value: 0.72 | Head Pose: Pitch -10.09, Yaw 4.79 | Eye Gaze: Pitch -2.45, Yaw 5.4 | Dominant Emotion: Other
Attention Value: 0.72 | Head Pose: Pitch 3.0, Yaw 25.93 | Eye Gaze: Pitch -5.63, Yaw 7.1 | Dominant Emotion: Other
Attention Value: 0.72 | Head Pose: Pitch -7.61, Yaw 8.39 | Eye Gaze: Pitch -4.27, Yaw -0.04 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch 2.69, Yaw 7.95 | Eye Gaze: Pitch -9.31, Yaw -7.39 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch -17.1, Yaw -6.52 | Eye Gaze: Pitch 5.45, Yaw 2.28 | Dominant Emotion: Neutral
Attention Value: 0.71 | Head Pose: Pitch -11.77, Yaw -2.16 | Eye Gaze: Pitch 6.87, Yaw -9.11 | Dominant Emotion: Happy
Attention Value: 0.71 | Head Pose: Pitch 25.95, Yaw 1.84 | Eye Gaze: Pitch -0.92, Yaw -3.74 | Dominant Emotion: Happy
Attention Value: 0.71 | Head Pose: Pitch 4.55, Yaw -20.04 | Eye Gaze: Pitch -0.69, Yaw -3.93 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch 16.15, Yaw -17.81 | Eye Gaze: Pitch 0.04, Yaw -2.99 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch 5.66, Yaw -12.98 | Eye Gaze: Pitch -1.02, Yaw -4.41 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch -1.86, Yaw -17.78 | Eye Gaze: Pitch -3.68, Yaw 8.77 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch -4.38, Yaw -19.62 | Eye Gaze: Pitch 0.84, Yaw -7.89 | Dominant Emotion: Angry
Attention Value: 0.71 | Head Pose: Pitch 20.66, Yaw 6.58 | Eye Gaze: Pitch 9.62, Yaw -2.02 | Dominant Emotion: Happy
Attention Value: 0.71 | Head Pose: Pitch -13.84, Yaw 11.18 | Eye Gaze: Pitch -0.33, Yaw 2.15 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch -9.03, Yaw -24.02 | Eye Gaze: Pitch 1.05, Yaw 6.13 | Dominant Emotion: Happy
Attention Value: 0.71 | Head Pose: Pitch -18.35, Yaw -0.0 | Eye Gaze: Pitch 1.65, Yaw -7.96 | Dominant Emotion: Angry
Attention Value: 0.71 | Head Pose: Pitch -10.4, Yaw -5.74 | Eye Gaze: Pitch -2.91, Yaw 8.22 | Dominant Emotion: Sad
Attention Value: 0.71 | Head Pose: Pitch -13.56, Yaw -7.66 | Eye Gaze: Pitch -2.12, Yaw 9.6 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch -10.07, Yaw -2.9 | Eye Gaze: Pitch -1.98, Yaw -8.51 | Dominant Emotion: Sad
Attention Value: 0.71 | Head Pose: Pitch 6.15, Yaw 11.52 | Eye Gaze: Pitch 2.02, Yaw -3.88 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch 9.75, Yaw 18.69 | Eye Gaze: Pitch 9.85, Yaw 8.89 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch 20.38, Yaw 2.75 | Eye Gaze: Pitch 6.06, Yaw 8.86 | Dominant Emotion: Sad
Attention Value: 0.71 | Head Pose: Pitch -15.27, Yaw 2.64 | Eye Gaze: Pitch 0.4, Yaw 3.18 | Dominant Emotion: Other
Attention Value: 0.71 | Head Pose: Pitch 3.98, Yaw 18.39 | Eye Gaze: Pitch -7.68, Yaw 3.41 | Dominant Emotion: Other
Attention Value: 0.7 | Head Pose: Pitch -12.73, Yaw 20.92 | Eye Gaze: Pitch 7.97, Yaw 1.99 | Dominant Emotion: Neutral
Attention Value: 0.7 | Head Pose: Pitch -22.75, Yaw -5.22 | Eye Gaze: Pitch -9.23, Yaw 8.08 | Dominant Emotion: Other
Attention Value: 0.7 | Head Pose: Pitch 22.11, Yaw 4.72 | Eye Gaze: Pitch -1.14, Yaw 1.15 | Dominant Emotion: Other
Attention Value: 0.7 | Head Pose: Pitch 19.73, Yaw 12.83 | Eye Gaze: Pitch 0.84, Yaw 5.73 | Dominant Emotion: Angry
Attention Value: 0.7 | Head Pose: Pitch -18.07, Yaw 25.62 | Eye Gaze: Pitch 0.08, Yaw 6.86 | Dominant Emotion: Neutral
Attention Value: 0.7 | Head Pose: Pitch -13.11, Yaw -24.82 | Eye Gaze: Pitch -1.5, Yaw -2.55 | Dominant Emotion: Other
Attention Value: 0.7 | Head Pose: Pitch -22.47, Yaw -2.18 | Eye Gaze: Pitch -1.07, Yaw -5.11 | Dominant Emotion: Angry
Attention Value: 0.7 | Head Pose: Pitch 24.38, Yaw 9.96 | Eye Gaze: Pitch -6.95, Yaw -1.98 | Dominant Emotion: Other
Attention Value: 0.7 | Head Pose: Pitch 10.92, Yaw -9.51 | Eye Gaze: Pitch 7.41, Yaw -3.78 | Dominant Emotion: Other
Attention Value: 0.7 | Head Pose: Pitch -22.07, Yaw 6.39 | Eye Gaze: Pitch -4.8, Yaw -6.08 | Dominant Emotion: Other
Attention Value: 0.7 | Head Pose: Pitch 15.83, Yaw -5.57 | Eye Gaze: Pitch 9.63, Yaw -5.46 | Dominant Emotion: Angry
Attention Value: 0.7 | Head Pose: Pitch -16.65, Yaw -3.22 | Eye Gaze: Pitch -2.32, Yaw -5.88 | Dominant Emotion: Angry
Attention Value: 0.69 | Head Pose: Pitch 12.79, Yaw -15.28 | Eye Gaze: Pitch -2.08, Yaw 5.9 | Dominant Emotion: Other
Attention Value: 0.69 | Head Pose: Pitch 21.18, Yaw -2.42 | Eye Gaze: Pitch -8.16, Yaw -5.38 | Dominant Emotion: Other
Attention Value: 0.69 | Head Pose: Pitch -6.08, Yaw -25.59 | Eye Gaze: Pitch 4.74, Yaw -4.14 | Dominant Emotion: Happy
Attention Value: 0.69 | Head Pose: Pitch -2.02, Yaw 16.39 | Eye Gaze: Pitch -6.14, Yaw -5.84 | Dominant Emotion: Sad
Attention Value: 0.69 | Head Pose: Pitch 12.36, Yaw -15.76 | Eye Gaze: Pitch 9.13, Yaw 1.62 | Dominant Emotion: Happy
Attention Value: 0.69 | Head Pose: Pitch -15.13, Yaw -20.82 | Eye Gaze: Pitch -6.18, Yaw 7.6 | Dominant Emotion: Neutral
Attention Value: 0.69 | Head Pose: Pitch -11.28, Yaw 29.57 | Eye Gaze: Pitch 3.51, Yaw 9.52 | Dominant Emotion: Happy
Attention Value: 0.69 | Head Pose: Pitch -10.41, Yaw -13.68 | Eye Gaze: Pitch 5.1, Yaw -5.04 | Dominant Emotion: Neutral
Attention Value: 0.69 | Head Pose: Pitch 11.16, Yaw 1.35 | Eye Gaze: Pitch -1.22, Yaw 5.27 | Dominant Emotion: Sad
Attention Value: 0.69 | Head Pose: Pitch -11.43, Yaw -1.16 | Eye Gaze: Pitch 5.86, Yaw -6.16 | Dominant Emotion: Other
Attention Value: 0.69 | Head Pose: Pitch 12.88, Yaw -25.06 | Eye Gaze: Pitch 0.02, Yaw -1.13 | Dominant Emotion: Happy
Attention Value: 0.68 | Head Pose: Pitch 12.99, Yaw 14.06 | Eye Gaze: Pitch -0.24, Yaw 3.34 | Dominant Emotion: Other
Attention Value: 0.68 | Head Pose: Pitch -18.82, Yaw -12.88 | Eye Gaze: Pitch 1.84, Yaw -2.61 | Dominant Emotion: Other
Attention Value: 0.68 | Head Pose: Pitch 4.45, Yaw 14.3 | Eye Gaze: Pitch -2.38, Yaw 2.0 | Dominant Emotion: Angry
Attention Value: 0.68 | Head Pose: Pitch -20.7, Yaw -13.75 | Eye Gaze: Pitch -3.66, Yaw -4.49 | Dominant Emotion: Other
Attention Value: 0.68 | Head Pose: Pitch -2.28, Yaw 10.81 | Eye Gaze: Pitch -9.12, Yaw 3.93 | Dominant Emotion: Angry
Attention Value: 0.68 | Head Pose: Pitch 22.27, Yaw 17.32 | Eye Gaze: Pitch 2.08, Yaw 6.35 | Dominant Emotion: Other
Attention Value: 0.68 | Head Pose: Pitch 22.28, Yaw -19.9 | Eye Gaze: Pitch 9.99, Yaw 9.19 | Dominant Emotion: Other
Attention Value: 0.68 | Head Pose: Pitch 4.82, Yaw -23.9 | Eye Gaze: Pitch 2.19, Yaw -1.53 | Dominant Emotion: Other
Attention Value: 0.68 | Head Pose: Pitch 9.45, Yaw -29.17 | Eye Gaze: Pitch -0.77, Yaw 7.42 | Dominant Emotion: Neutral
Attention Value: 0.68 | Head Pose: Pitch -4.29, Yaw 23.26 | Eye Gaze: Pitch 7.25, Yaw 9.43 | Dominant Emotion: Happy
Attention Value: 0.68 | Head Pose: Pitch -15.35, Yaw 11.56 | Eye Gaze: Pitch -9.37, Yaw -0.81 | Dominant Emotion: Happy
Attention Value: 0.68 | Head Pose: Pitch -16.26, Yaw -4.88 | Eye Gaze: Pitch -0.15, Yaw 5.4 | Dominant Emotion: Angry
Attention Value: 0.67 | Head Pose: Pitch 9.48, Yaw 27.93 | Eye Gaze: Pitch 0.58, Yaw -3.23 | Dominant Emotion: Other
Attention Value: 0.67 | Head Pose: Pitch -22.61, Yaw -14.06 | Eye Gaze: Pitch -7.18, Yaw -3.68 | Dominant Emotion: Happy
Attention Value: 0.67 | Head Pose: Pitch 20.41, Yaw 6.79 | Eye Gaze: Pitch -9.67, Yaw -1.75 | Dominant Emotion: Sad
Attention Value: 0.67 | Head Pose: Pitch 19.31, Yaw -19.5 | Eye Gaze: Pitch -6.1, Yaw -8.55 | Dominant Emotion: Other
Attention Value: 0.67 | Head Pose: Pitch -1.66, Yaw -20.39 | Eye Gaze: Pitch 7.59, Yaw -5.08 | Dominant Emotion: Other
Attention Value: 0.67 | Head Pose: Pitch -7.45, Yaw 18.19 | Eye Gaze: Pitch -9.89, Yaw -8.48 | Dominant Emotion: Other
Attention Value: 0.67 | Head Pose: Pitch -26.94, Yaw -6.1 | Eye Gaze: Pitch -5.15, Yaw -0.54 | Dominant Emotion: Neutral
Attention Value: 0.67 | Head Pose: Pitch 27.0, Yaw -3.44 | Eye Gaze: Pitch 3.05, Yaw -9.65 | Dominant Emotion: Other
Attention Value: 0.67 | Head Pose: Pitch 20.95, Yaw -17.73 | Eye Gaze: Pitch 6.11, Yaw -8.91 | Dominant Emotion: Happy
Attention Value: 0.67 | Head Pose: Pitch 23.56, Yaw -9.26 | Eye Gaze: Pitch -4.19, Yaw 0.55 | Dominant Emotion: Other
Attention Value: 0.67 | Head Pose: Pitch 21.78, Yaw 15.04 | Eye Gaze: Pitch 5.46, Yaw -8.73 | Dominant Emotion: Other
Attention Value: 0.67 | Head Pose: Pitch -10.09, Yaw 12.83 | Eye Gaze: Pitch -4.69, Yaw -7.83 | Dominant Emotion: Angry
Attention Value: 0.67 | Head Pose: Pitch 12.57, Yaw -7.47 | Eye Gaze: Pitch -7.19, Yaw -8.3 | Dominant Emotion: Neutral
Attention Value: 0.67 | Head Pose: Pitch -10.25, Yaw 28.1 | Eye Gaze: Pitch -4.08, Yaw 0.85 | Dominant Emotion: Happy
Attention Value: 0.67 | Head Pose: Pitch 1.44, Yaw -27.46 | Eye Gaze: Pitch 0.53, Yaw -4.89 | Dominant Emotion: Angry
Attention Value: 0.67 | Head Pose: Pitch -26.54, Yaw -12.93 | Eye Gaze: Pitch 2.96, Yaw -6.22 | Dominant Emotion: Other
Attention Value: 0.66 | Head Pose: Pitch -24.41, Yaw -7.51 | Eye Gaze: Pitch -5.78, Yaw 0.07 | Dominant Emotion: Angry
Attention Value: 0.66 | Head Pose: Pitch -21.6, Yaw -1.2 | Eye Gaze: Pitch 6.04, Yaw -7.78 | Dominant Emotion: Other
Attention Value: 0.66 | Head Pose: Pitch 29.39, Yaw 8.32 | Eye Gaze: Pitch 0.5, Yaw 5.58 | Dominant Emotion: Neutral
Attention Value: 0.66 | Head Pose: Pitch 14.06, Yaw -21.89 | Eye Gaze: Pitch 2.91, Yaw -7.27 | Dominant Emotion: Happy
Attention Value: 0.66 | Head Pose: Pitch -19.87, Yaw -9.01 | Eye Gaze: Pitch -4.27, Yaw -8.46 | Dominant Emotion: Other
Attention Value: 0.66 | Head Pose: Pitch 9.36, Yaw -18.15 | Eye Gaze: Pitch 3.39, Yaw 0.86 | Dominant Emotion: Other
Attention Value: 0.66 | Head Pose: Pitch -16.46, Yaw 7.05 | Eye Gaze: Pitch 0.62, Yaw -8.09 | Dominant Emotion: Other
Attention Value: 0.66 | Head Pose: Pitch -15.7, Yaw 9.7 | Eye Gaze: Pitch 8.85, Yaw -4.35 | Dominant Emotion: Angry
Attention Value: 0.66 | Head Pose: Pitch 15.88, Yaw 7.26 | Eye Gaze: Pitch 1.26, Yaw -3.81 | Dominant Emotion: Angry
Attention Value: 0.66 | Head Pose: Pitch -12.72, Yaw 21.42 | Eye Gaze: Pitch -7.87, Yaw 1.02 | Dominant Emotion: Other
Attention Value: 0.66 | Head Pose: Pitch 18.82, Yaw -13.88 | Eye Gaze: Pitch 9.74, Yaw -3.74 | Dominant Emotion: Angry
Attention Value: 0.66 | Head Pose: Pitch 18.33, Yaw 10.44 | Eye Gaze: Pitch 4.88, Yaw -6.31 | Dominant Emotion: Other
Attention Value: 0.65 | Head Pose: Pitch 21.63, Yaw 10.62 | Eye Gaze: Pitch -6.51, Yaw 4.77 | Dominant Emotion: Other
Attention Value: 0.65 | Head Pose: Pitch 4.14, Yaw 29.34 | Eye Gaze: Pitch 7.75, Yaw -9.12 | Dominant Emotion: Neutral
Attention Value: 0.65 | Head Pose: Pitch 4.69, Yaw -29.54 | Eye Gaze: Pitch -5.48, Yaw -3.3 | Dominant Emotion: Sad
Attention Value: 0.65 | Head Pose: Pitch 27.55, Yaw 15.58 | Eye Gaze: Pitch 0.6, Yaw 1.27 | Dominant Emotion: Happy
Attention Value: 0.65 | Head Pose: Pitch 19.06, Yaw -22.76 | Eye Gaze: Pitch -6.54, Yaw -7.09 | Dominant Emotion: Other
Attention Value: 0.65 | Head Pose: Pitch 23.16, Yaw 12.38 | Eye Gaze: Pitch -6.29, Yaw 1.09 | Dominant Emotion: Happy
Attention Value: 0.65 | Head Pose: Pitch -9.67, Yaw 4.65 | Eye Gaze: Pitch -1.68, Yaw 9.6 | Dominant Emotion: Angry
Attention Value: 0.64 | Head Pose: Pitch -0.38, Yaw -18.93 | Eye Gaze: Pitch -6.64, Yaw 9.82 | Dominant Emotion: Other
Attention Value: 0.64 | Head Pose: Pitch -23.22, Yaw -1.23 | Eye Gaze: Pitch 0.13, Yaw 6.03 | Dominant Emotion: Sad
Attention Value: 0.64 | Head Pose: Pitch 18.62, Yaw -12.21 | Eye Gaze: Pitch 3.88, Yaw 6.3 | Dominant Emotion: Other
Attention Value: 0.64 | Head Pose: Pitch 16.81, Yaw -29.17 | Eye Gaze: Pitch -8.45, Yaw -7.44 | Dominant Emotion: Happy
Attention Value: 0.64 | Head Pose: Pitch 25.59, Yaw 24.09 | Eye Gaze: Pitch 4.64, Yaw 8.44 | Dominant Emotion: Other
Attention Value: 0.64 | Head Pose: Pitch -22.88, Yaw -27.2 | Eye Gaze: Pitch 3.68, Yaw 4.31 | Dominant Emotion: Neutral
Attention Value: 0.64 | Head Pose: Pitch 15.07, Yaw -14.08 | Eye Gaze: Pitch -4.97, Yaw -0.15 | Dominant Emotion: Other
Attention Value: 0.64 | Head Pose: Pitch -22.93, Yaw -12.72 | Eye Gaze: Pitch 2.5, Yaw 8.03 | Dominant Emotion: Happy
Attention Value: 0.64 | Head Pose: Pitch -13.5, Yaw -21.27 | Eye Gaze: Pitch 3.6, Yaw -3.56 | Dominant Emotion: Neutral
Attention Value: 0.64 | Head Pose: Pitch -21.23, Yaw 24.94 | Eye Gaze: Pitch 7.64, Yaw 4.57 | Dominant Emotion: Happy
Attention Value: 0.64 | Head Pose: Pitch 28.48, Yaw 9.26 | Eye Gaze: Pitch 4.72, Yaw 3.93 | Dominant Emotion: Sad
Attention Value: 0.63 | Head Pose: Pitch -3.12, Yaw 22.35 | Eye Gaze: Pitch 2.13, Yaw -3.36 | Dominant Emotion: Angry
Attention Value: 0.63 | Head Pose: Pitch -0.38, Yaw -23.52 | Eye Gaze: Pitch -3.78, Yaw -3.72 | Dominant Emotion: Sad
Attention Value: 0.63 | Head Pose: Pitch -29.18, Yaw -17.2 | Eye Gaze: Pitch 7.75, Yaw -7.89 | Dominant Emotion: Other
Attention Value: 0.63 | Head Pose: Pitch -22.94, Yaw -19.25 | Eye Gaze: Pitch -0.87, Yaw 6.13 | Dominant Emotion: Other
Attention Value: 0.63 | Head Pose: Pitch -19.12, Yaw 18.65 | Eye Gaze: Pitch -9.74, Yaw 9.43 | Dominant Emotion: Sad
Attention Value: 0.63 | Head Pose: Pitch 28.64, Yaw -17.88 | Eye Gaze: Pitch -0.54, Yaw -6.43 | Dominant Emotion: Other
Attention Value: 0.63 | Head Pose: Pitch 9.1, Yaw -26.6 | Eye Gaze: Pitch 4.13, Yaw 0.4 | Dominant Emotion: Other
Attention Value: 0.63 | Head Pose: Pitch -24.55, Yaw 23.23 | Eye Gaze: Pitch -5.57, Yaw -7.25 | Dominant Emotion: Neutral
Attention Value: 0.63 | Head Pose: Pitch 28.58, Yaw -16.25 | Eye Gaze: Pitch 2.35, Yaw 9.83 | Dominant Emotion: Happy
Attention Value: 0.62 | Head Pose: Pitch 24.69, Yaw -12.92 | Eye Gaze: Pitch 0.95, Yaw 4.39 | Dominant Emotion: Angry
Attention Value: 0.62 | Head Pose: Pitch 25.37, Yaw 0.86 | Eye Gaze: Pitch -9.65, Yaw -5.65 | Dominant Emotion: Sad
Attention Value: 0.62 | Head Pose: Pitch -20.18, Yaw 19.71 | Eye Gaze: Pitch 9.86, Yaw -3.03 | Dominant Emotion: Other
Attention Value: 0.62 | Head Pose: Pitch 26.25, Yaw 29.15 | Eye Gaze: Pitch 0.05, Yaw 0.8 | Dominant Emotion: Neutral
Attention Value: 0.62 | Head Pose: Pitch -26.09, Yaw 9.05 | Eye Gaze: Pitch -9.23, Yaw -6.82 | Dominant Emotion: Angry
Attention Value: 0.62 | Head Pose: Pitch -24.15, Yaw -5.17 | Eye Gaze: Pitch 2.64, Yaw -9.48 | Dominant Emotion: Angry
Attention Value: 0.62 | Head Pose: Pitch 12.06, Yaw 29.28 | Eye Gaze: Pitch -5.28, Yaw -1.95 | Dominant Emotion: Sad
Attention Value: 0.62 | Head Pose: Pitch -24.08, Yaw -5.43 | Eye Gaze: Pitch 5.97, Yaw 5.22 | Dominant Emotion: Other
Attention Value: 0.62 | Head Pose: Pitch 14.52, Yaw -24.69 | Eye Gaze: Pitch 2.48, Yaw 9.34 | Dominant Emotion: Happy
Attention Value: 0.61 | Head Pose: Pitch 28.54, Yaw 10.84 | Eye Gaze: Pitch 5.4, Yaw 1.24 | Dominant Emotion: Other
Attention Value: 0.61 | Head Pose: Pitch -10.22, Yaw 24.2 | Eye Gaze: Pitch -1.75, Yaw 3.51 | Dominant Emotion: Other
Attention Value: 0.61 | Head Pose: Pitch -1.17, Yaw -22.26 | Eye Gaze: Pitch -6.81, Yaw 7.14 | Dominant Emotion: Angry
Attention Value: 0.61 | Head Pose: Pitch 17.24, Yaw -17.18 | Eye Gaze: Pitch -9.49, Yaw 0.78 | Dominant Emotion: Other
Attention Value: 0.61 | Head Pose: Pitch 23.12, Yaw 19.77 | Eye Gaze: Pitch -2.49, Yaw -6.45 | Dominant Emotion: Other
Attention Value: 0.61 | Head Pose: Pitch -16.45, Yaw -8.55 | Eye Gaze: Pitch 6.2, Yaw 5.28 | Dominant Emotion: Sad
Attention Value: 0.61 | Head Pose: Pitch -23.65, Yaw -22.03 | Eye Gaze: Pitch 0.76, Yaw -7.79 | Dominant Emotion: Angry
Attention Value: 0.61 | Head Pose: Pitch 1.77, Yaw -26.39 | Eye Gaze: Pitch 7.62, Yaw -9.18 | Dominant Emotion: Sad
Attention Value: 0.61 | Head Pose: Pitch 12.87, Yaw 23.81 | Eye Gaze: Pitch -2.42, Yaw 7.22 | Dominant Emotion: Sad
Attention Value: 0.61 | Head Pose: Pitch 11.33, Yaw -19.45 | Eye Gaze: Pitch -7.22, Yaw 4.61 | Dominant Emotion: Sad
Attention Value: 0.61 | Head Pose: Pitch -17.43, Yaw 28.98 | Eye Gaze: Pitch -4.84, Yaw 7.75 | Dominant Emotion: Other
Attention Value: 0.61 | Head Pose: Pitch -20.09, Yaw 4.34 | Eye Gaze: Pitch -8.42, Yaw -3.73 | Dominant Emotion: Angry
